song_title,performer,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,5ljCWsDlSyJ41kwqym2ORw,0.23,0.759,0.678,0,9,0.15,-5.148,0,0.314,89.64,4,0.327
'65 Love Affair,Paul Davis,4XCvXkbtuPLs4bjDPpJvQW,0.558,0.654,0.764,0,9,0.204,-4.046,0,0.0289,154.549,4,0.88
'98 Braves,Morgan Wallen,3oZ6dlSfCE9gZ55MGPJctc,0.0687,0.494,0.689,7.68e-05,2,0.265,-5.724,1,0.0265,142.092,4,0.472
'98 Thug Paradise,"Tragedy, Capone, Infinite",,,,,,,,,,,,,
'Round We Go,Big Sister,5IxmmHkTSS5tY7FBOdEfES,0.000848,0.711,0.832,0.582,11,0.19,-8.166,0,0.0353,127.017,4,0.85
'Til My Baby Comes Home,Luther Vandross,2R97RZWUx4vAFbMMtmb5Ss,0.0567,0.804,0.714,6.21e-06,11,0.0253,-6.714,0,0.183,139.663,4,0.802
'Til Summer Comes Around,Keith Urban,1CKmI1IQjVEVB3F7VmJmM3,0.593,0.571,0.629,0.000133,9,0.77,-7.608,0,0.0329,127.907,4,0.308
'Til You Can't,Cody Johnson,4k3lPl8YTKuY8c1HelVnm3,0.0513,0.501,0.815,0,1,0.106,-4.865,1,0.0436,160.087,4,0.46
'Til You Do Me Right,After 7,3kGMziz884MLV1oCwrarmN,0.306,0.663,0.462,0,2,0.0687,-8.784,0,0.0252,76.794,4,0.431
'Til,The Angels,4UlrlRkFZtVJCIocWLJxy3,0.185,0.526,0.813,0,1,0.0995,-3.991,0,0.317,156.126,4,0.555
'Tis The Damn Season,Taylor Swift,6sQckd3Z8NPxVVKUnavY1F,0.735,0.575,0.434,6.59e-05,5,0.105,-8.193,1,0.0312,145.916,4,0.348
'til I Can Make It On My Own,Tammy Wynette,0aJHZYjwbfTmeyUWF7zGxI,0.832,0.45,0.294,3.53e-05,7,0.108,-12.022,1,0.0318,141.148,4,0.146
'til It's Time To Say Goodbye,Jonathan Cain,,,,,,,,,,,,,
('til) I Kissed You,The Everly Brothers,2ltpYs0O8uNesHFgGHg0bt,0.614,0.569,0.465,0,1,0.342,-10.431,1,0.0438,141.087,4,0.664
(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,4wXNtDvLZl55vlQashWQrI,0.136,0.534,0.666,1.56e-05,10,0.128,-8.179,0,0.0348,97.261,4,0.904
(A Ship Will Come) Ein Schiff Wird Kommen,Lale Anderson,5tnreOJarXDs7mUMNJniFM,0.572,0.644,0.514,1.48e-05,4,0.122,-6.753,1,0.0297,123.894,4,0.702
(All I Have To Do Is) Dream,The Nitty Gritty Dirt Band,4zqFPSBji6hVDBFWxzp6Oz,0.253,0.776,0.635,0,2,0.0817,-6.321,1,0.0282,111.192,4,0.825
(All Of A Sudden) My Heart Sings,Mel Carter,6x5BiQwNlbtisITsEHa8Eu,0.479,0.419,0.546,4.81e-06,7,0.535,-7.819,1,0.0363,118.106,3,0.493
(All of a Sudden) My Heart Sings,Paul Anka,0zKZqHPNUKjjhsUJHT06RZ,0.78,0.435,0.36,0,4,0.513,-10.179,1,0.0298,111.446,3,0.342
(Any Way That You Want It) I'll Be There,Starz,3e7bMUM2jFwEYBgDqWCBDs,0.00281,0.452,0.839,2.8e-05,7,0.3,-4.705,1,0.0301,124.724,4,0.636
(Baby Tell Me) Can You Dance,Shanice Wilson,68KGQjb59s81k01skuqmST,0.0866,0.764,0.84,0.000199,7,0.354,-9.781,1,0.106,111.215,4,0.659
(Baby) Hully Gully,The Olympics,75WAqt84ld3HPu0yKfxY3e,0.714,0.711,0.477,0,7,0.486,-14.222,1,0.0363,116.602,4,0.876
(Baby) Turn On To Me,The Impressions,7By083PtTCrwihTP4DgOmm,0.0483,0.658,0.675,0.00125,10,0.205,-6.908,1,0.0287,109.384,4,0.791
(Believed You Were) Lucky,'Til Tuesday,3Lm7hSTabr01oav0WdSsuD,0.448,0.612,0.523,1.59e-06,5,0.0727,-11.425,1,0.0321,124.315,4,0.495
(Between A) Rock And A Hard Place,Cutting Crew,2KxYID9maMVJaGnvGu6Iso,0.0928,0.615,0.845,2.77e-05,5,0.0755,-9.943,0,0.0393,117.444,4,0.585
(Bringing Out) The Girl In Me,Maxine Nightingale,7yCwNDMssdIXYW6SXjEhNX,0.751,0.709,0.751,1.24e-06,9,0.331,-7.721,1,0.0395,116.153,4,0.942
(Call Me Your) Anything Man,Bobby Moore,4lmgLr78pgyHhKjSV9sJOi,0.101,0.511,0.674,0,10,0.153,-11.254,0,0.575,84.983,4,0.599
(Call Me) When The Spirit Moves You,Touch,0ELtpf2Gidp8oNyJm8jAfM,0.149,0.574,0.812,0,1,0.434,-3.3,1,0.0799,111.358,4,0.642
(Can't Live Without Your) Love And Affection,Nelson,3JjY2L2bqql54j1SjnjQ23,0.0423,0.541,0.904,0,1,0.0589,-6.384,1,0.0404,121.386,4,0.833
(Closest Thing To) Perfect,Jermaine Jackson,7pM34Bmj0JY3YNkDOlrcrh,0.0205,0.661,0.763,0.000307,6,0.382,-12.204,0,0.0326,149.974,4,0.905
(Come 'round Here) I'm The One You Need,The Miracles,3DjkcowCEpxQJHwFDAX7hE,0.122,0.541,0.718,0,7,0.387,-6.27,1,0.0336,113.827,4,0.823
(Come On) Shout,Alex Brown,5qWC292RVO5j5ZOIgwROZV,0.162,0.614,0.836,0,1,0.3,-4.219,1,0.148,139.872,4,0.544
(Dance The) Mess Around,Chubby Checker,58EirkLFB6O6wwRN9JowHB,0.381,0.511,0.694,0,10,0.195,-5.509,1,0.0479,146.559,4,0.826
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,207cqolTfI0vGLW6QrGfFa,0.831,0.737,0.924,0.121,9,0.163,-6.285,1,0.0401,135.412,4,0.963
(Do The New) Continental,The Dovells,0nkM2uL3tRNm49zKdThV4J,0.206,0.703,0.757,0,8,0.284,-6.267,1,0.0567,120.46,4,0.929
(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,4W7ps5zORgRWe691hlxXzC,0.511,0.745,0.837,0.339,7,0.191,-9.169,1,0.0467,134.471,4,0.932
(Do The) Push And Pull Part I,Rufus Thomas,,,,,,,,,,,,,
(Do You) Wanna Ride,Reel Tight,7mtYwHLYETUEgA8Sc2Uuxr,0.185,0.757,0.659,0,6,0.0674,-5.525,1,0.0701,138.045,4,0.878
(Doin' The) Lovers Leap,Webb Pierce,2jX30KTWE5wQS7RdqvJO1X,0.516,0.788,0.356,3.98e-05,10,0.0655,-10.682,1,0.0357,132.654,4,0.925
(Don't Fear) The Reaper,Blue Oyster Cult,5QTxFnGygVM4jFQiBovmRo,0.0029,0.333,0.927,0.000208,9,0.297,-8.55,0,0.0733,141.466,4,0.385
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield,65oxGgt3WYf7ABmp4yK2sR,0.0773,0.725,0.876,0.0264,6,0.398,-7.468,0,0.0641,120.867,4,0.947
(Down At) Papa Joe's,The Dixiebelles,4nMHxAPUbpFyIroLkRsm0A,0.495,0.429,0.794,0.000265,7,0.349,-10.708,1,0.0813,165.599,4,0.735
(Every Time I Turn Around) Back In Love Again,LTD,6dQSzIIt4gNE9BpF02Tus4,0.0173,0.83,0.559,4.85e-05,10,0.189,-14.609,0,0.132,109.34,4,0.877
(Everything I Do) I Do It For You,Bryan Adams,6eBK3edMW7bEzecF1eCezc,0.0775,0.526,0.365,1.37e-05,1,0.0618,-12.605,1,0.028,131.251,4,0.254
(For God's Sake) Give More Power To The People,The Chi-lites,0dVabf3Sm1uHODq1vz2Lts,0.493,0.665,0.552,0.0272,6,0.421,-10.177,1,0.0307,96.889,4,0.899
(Forever) Live And Die,Orchestral Manoeuvres In The Dark,7pFydJbDEToJHtvl6g579k,0.0902,0.605,0.545,0.244,0,0.149,-13.603,1,0.0297,90.179,4,0.865
(Ghost) Riders In The Sky,Outlaws,4ncVYIs3UFvitjvc8RIPkM,0.0132,0.228,0.896,0.0273,9,0.795,-7.241,0,0.13,128.433,4,0.146
(Ghost) Riders In The Sky,Ramrods,7JqK0JRlIunCuy0uxY3Zsw,0.745,0.445,0.835,0.601,5,0.613,-7.598,1,0.0455,120.956,4,0.351
"(Girls, Girls, Girls) Made To Love",Eddie Hodges,5cEzwfK7uN7MmQdoJrbUZc,0.412,0.754,0.373,0,9,0.0779,-9.824,1,0.0526,89.3,4,0.546
(God Must Have Spent) A Little More Time On You,'N Sync,08zfRiERqpy7J0x8akk7zt,0.449,0.375,0.527,0,10,0.305,-8.422,1,0.0507,167.242,4,0.303
(He's My) Dreamboat,Connie Francis,3OvzW4ex4PCAkr25M85WCP,0.78,0.373,0.364,2.24e-06,0,0.342,-6.563,1,0.0305,70.31,4,0.451
(He's) Raining In My Sunshine,Jay & The Americans,120BvxQsMS1M41PdBClcxa,0.74,0.478,0.298,1.11e-05,2,0.139,-13.842,1,0.0342,110.006,4,0.376
(He's) The Great Impostor,The Fleetwoods,2eVScRxwygOTnwX0sMjypV,4.09e-05,0.17,0.88,0.785,8,0.323,-4.69,0,0.0778,123.306,4,0.143
(Here They Come) From All Over The World,Jan & Dean,5TrvERHRtiRshORTehfs0w,0.621,0.461,0.68,7.74e-06,0,0.906,-10.699,1,0.0446,149.771,4,0.957
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,0b7qiL1rLbUUpGXczt7p5T,0.744,0.637,0.528,0,4,0.114,-11.287,1,0.0328,124.806,4,0.702
(Hot S**t) Country Grammar,Nelly,3wMUvT6eIw2L5cZFG1yH9j,0.00683,0.881,0.663,0,2,0.142,-6.822,1,0.0827,81.374,4,0.586
(How Bout A Little Hand For) The Boys In The Band,The Boys In The Band,4jo9EvleiYWh6upqUVJ4lC,0.658,0.648,0.243,0.000111,9,0.303,-18.372,1,0.0348,115.193,4,0.934
(How Can I Write On Paper) What I Feel In My Heart,Jim Reeves,,,,,,,,,,,,,
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong,,,,,,,,,,,,,
(How To Be A) Millionaire,ABC,3zC02nmo5OrDDMW3U905AU,0.269,0.728,0.751,9.26e-06,2,0.0728,-9.702,1,0.0516,121.68,4,0.833
(I Believe) There's Nothing Stronger Than Our Love,Paul Anka/Odia Coates,6HH1rzLOFz4GdtLDRpqKdA,0.124,0.584,0.791,0,0,0.0781,-6.648,1,0.0453,148.413,4,0.782
(I Can Feel Those Vibrations) This Love Is Real,Jackie Wilson,2QM3bCcmAwiuwDvhIispV8,0.429,0.63,0.8,0,2,0.3,-6.002,1,0.15,120.811,4,0.736
(I Can Feel Your Love) Slipping Away,Barbara Mason,7tf10BYZc7tqY5k9e0mkBZ,0.563,0.439,0.427,0,0,0.295,-5.455,1,0.0254,77.419,3,0.335
(I Can't Get No) Satisfaction,The Rolling Stones,2PzU4IB8Dr6mxV3lHuaG34,0.0383,0.723,0.863,0.0317,2,0.128,-7.89,1,0.0338,136.302,4,0.931
(I Can't Help You) I'm Falling Too,Skeeter Davis,5MXe6dKcR6iO33GWzVW8cr,0.777,0.617,0.197,0,9,0.133,-12.145,1,0.0267,91.209,4,0.384
(I Could Only) Whisper Your Name,"Harry Connick, Jr.",68EKUNtzGVapUS30PJDVKs,0.191,0.682,0.572,0.204,5,0.0504,-7.067,0,0.045,89.083,4,0.844
(I Cried at) Laura's Wedding,Barbara Lynn,1kWnbqS0pNBX9UNFIdBoXw,0.84,0.579,0.299,4.71e-05,7,0.117,-8.729,1,0.0304,89.463,3,0.194
(I Do The) Shimmy Shimmy,Bobby Freeman,2YcKj4SBMy04Yxn0bcUY6Q,0.74,0.465,0.857,0,2,0.365,-5.498,1,0.0412,88.327,4,0.888
(I Don't Care) Only Love Me,Steve Lawrence,2tve82MQkxXX1WsdxpI4sk,0.468,0.56,0.516,0.000107,5,0.173,-12.275,0,0.183,141.812,4,0.825
(I Don't Want To Love You But) You Got Me Anyway,Sutherland Brothers And Quiver,4sedfDbR2vLbA7syCdA0Od,0.367,0.462,0.5,0.000138,2,0.724,-12.849,1,0.0625,124.186,4,0.501
(I Hate) Everything About You,Three Days Grace,0M955bMOoilikPXwKLYpoi,0.00461,0.498,0.83,0,6,0.139,-5.157,0,0.0421,89.342,4,0.453
(I Just) Died In Your Arms,Cutting Crew,4ByEFOBuLXpCqvO1kw8Wdm,0.0158,0.625,0.726,0.000169,11,0.0625,-11.402,0,0.0444,124.945,4,0.507
(I Know I Got) Skillz,Shaquille O'Neal,0TEQ2QmFXnHCgQvYuvsbp2,0.00366,0.801,0.875,0.425,7,0.182,-9.705,1,0.0995,91.983,4,0.637
(I Know) I'm Losing You,Rare Earth,18bZGZU0wZ2lV1SEDoXqqr,0.573,0.463,0.553,3.66e-05,6,0.315,-14.648,1,0.0465,100.608,4,0.715
(I Know) I'm Losing You,Rod Stewart With Faces,7s7ylhLGL0sV6TU9bzpN5S,0.0841,0.39,0.8,0.201,7,0.121,-13.615,1,0.0611,106.739,4,0.439
(I Know) I'm Losing You,The Temptations,6y8o4V2R2dSt2ijgL8C72W,0.5,0.634,0.503,0,5,0.0465,-11.89,1,0.0282,109.57,4,0.813
(I Know) I'm Losing You,Uptown,,,,,,,,,,,,,
(I Love You) Don't You Forget It,Perry Como,,,,,,,,,,,,,
(I Never Promised You A) Rose Garden,Martina McBride,4iO895szRNF9qVxGiVJkKf,0.505,0.577,0.742,0,2,0.119,-6.92,1,0.0533,131.912,4,0.752
(I Remember) Summer Morning,Vanity Fare,5iDkKAJZxGaqIo4Z32ZbjD,0.922,0.528,0.341,0,4,0.135,-12.768,0,0.03,111.336,4,0.337
(I Wanna) Dance With The Teacher,The Olympics,3rHQ8LI3Rrw2hy7H4FtbFw,0.428,0.567,0.458,0.0412,4,0.356,-15.353,1,0.0623,85.189,4,0.829
(I Wanna) Love My Life Away,Gene Pitney,3a5dU16xeHzWMkLr8mnrYQ,0.598,0.522,0.844,0.00279,0,0.61,-3.945,1,0.039,135.959,4,0.893
(I Wanna) Testify,The Parliaments,0WEO3zfMa5b8kgPzhmysXJ,0.336,0.668,0.702,0,10,0.0521,-5.75,1,0.033,105.225,4,0.754
(I Washed My Hands In) Muddy Water,Johnny Rivers,53JnBuXIHTP0Tyc1H9uayA,0.641,0.466,0.767,0,8,0.686,-10.503,1,0.205,171.724,4,0.805
(I Will Be Your) Shadow In The Street,Allan Clarke,,,,,,,,,,,,,
(I was) Born To Cry,Dion,5P6O4yi0sZ4JUOJAlmZvxM,0.322,0.397,0.567,0,7,0.181,-11.25,0,0.064,119.734,4,0.605
(I'd Know You) Anywhere,Ashford & Simpson,04sWiIQBI9r1FMer5KIAl9,0.735,0.42,0.547,0.00018,9,0.57,-8.078,1,0.0431,106.306,4,0.375
(I'll Be With You In) Apple Blossom Time,Tab Hunter,1qvPUtxpSd8xUwmkoGWs7V,0.863,0.576,0.375,5.66e-06,8,0.0593,-12.51,1,0.0367,130.33,4,0.635
(I'm A) Road Runner,Jr. Walker & The All Stars,2wuEt9idXjHQyAKKfc5hzn,0.0541,0.751,0.689,0,5,0.281,-6.564,1,0.0281,125.234,4,0.827
(I'm A) YoYo Man,Rick Cunha,,,,,,,,,,,,,
(I'm Going By) The Stars In Your Eyes,Ron Banks And The Dramatics,5h4EzFDVffkkGBFQUS3Big,0.92,0.571,0.423,8.75e-05,9,0.0781,-17.188,1,0.0364,127.348,4,0.894
(I'm Just A) Fool For You,Gene Chandler,0FESeUvkf85Xj65Yv08Ovf,0.288,0.564,0.623,1.31e-05,2,0.0947,-9.553,1,0.0319,110.613,4,0.911
(I'm Not Your) Steppin' Stone,The Monkees,7dvtNWoHd3ioEBmIl0s3In,0.0151,0.537,0.677,0.000199,5,0.0981,-4.437,1,0.0301,131.477,4,0.324
(I'm So) Afraid Of Losing You Again,Charley Pride,06a8tMaXfKlBKv6df2raWH,0.413,0.578,0.335,3.65e-05,4,0.233,-12.286,1,0.0328,109.421,4,0.513
(I'm Watching) Every Little Move You Make,Little Peggy March,,,,,,,,,,,,,
(I've Got) Bonnie,Bobby Rydell,5XbZjYB4z9OIJhutiDJeSV,0.784,0.479,0.379,0,9,0.164,-7.461,1,0.0256,74.68,4,0.754
(I've Got) Spring Fever,Little Willie John,4cB9gp5NQmxstYj0fF5Y0w,0.799,0.699,0.373,0.545,0,0.0764,-12.653,1,0.0813,134.928,4,0.73
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,6W7ztLBiRzBN46ZaPAcQ0F,0.0404,0.697,0.669,0.00897,6,0.0654,-12.723,0,0.0406,108.506,4,0.486
(I've Had) The Time Of My Life,Glee Cast,1wYDz3NuqlGxPnQDX8OuV6,0.0765,0.459,0.77,0,9,0.0879,-5.993,1,0.0472,110.706,4,0.168
(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,1cxjGdsHJn2vo17AbWLFzu,0.0341,0.621,0.536,1.01e-05,4,0.142,-10.935,0,0.0349,74.256,4,0.72
(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,54K7o2yNOMZYCtEDnfD6wI,0.283,0.502,0.451,0,4,0.154,-7.423,0,0.0438,140.474,4,0.531
(If There Was) Any Other Way,Celine Dion,5yh5RqpOXYN3iiJe07mNNf,0.239,0.671,0.784,3.6e-06,7,0.139,-8.672,0,0.0322,124.013,4,0.904
"(If You Cry) True Love, True Love",The Drifters,6mZrW1JtojCUbpEJqvjEXE,0.533,0.48,0.538,0,0,0.0945,-5.368,1,0.0315,140.042,4,0.523
(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,5QQOXL6qvhobRG7zfjQCXW,0.496,0.398,0.692,0,0,0.394,-8.596,1,0.045,93.907,4,0.65
(If You Want It) Do It Yourself,Gloria Gaynor,2wL4EYvM2jXsiYToaCm4yB,0.0423,0.682,0.635,0.0159,11,0.125,-14.155,1,0.116,110.392,4,0.579
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain,,,,,,,,,,,,,
(If You're Wondering If I Want You To) I Want You To,Weezer,09aDV0TC2RfWFU5IwZfIdG,0.00163,0.695,0.873,0.000198,11,0.154,-5.722,0,0.0392,110.021,4,0.799
(It Never Happens) In Real Life,Chuck Jackson,0a5tdX3qPVFQ76x4HkVZEy,0.692,0.696,0.46,0.0325,3,0.138,-8.451,1,0.0304,119.059,4,0.829
(It's Been A Long Time) Pretty Baby,Gino & Gina,3JbNJOcs12Wd7c2d1bOrA4,0.378,0.621,0.559,0,0,0.349,-7.159,1,0.0379,129.744,4,0.96
(It's Just) The Way That You Love Me,Paula Abdul,57ysLbmFhxX9WL9e5QTAmz,0.0933,0.766,0.852,0.00343,1,0.0825,-8.297,1,0.0729,119.968,4,0.886
(It's No) Sin,The Duprees featuring Joey Vann,5ESH0Z0TE6ioIs0zV7k9ay,0.863,0.345,0.378,2.39e-05,7,0.0673,-9.357,1,0.0292,107.951,3,0.509
(It's The Way) Nature Planned It,Four Tops,77ofWAzg1VoiK0mek1pYC0,0.539,0.577,0.604,0.00418,1,0.0794,-8.412,1,0.0337,92.295,4,0.721
(It) Feels So Good,Steven Tyler,3xuzbqmCALn6Ua8JeOrnZl,0.0631,0.738,0.952,0,6,0.216,-3.386,0,0.0515,122.0,4,0.899
(Just Like) Romeo & Juliet,The Reflections,369piZ0aM7nGAb2oi2xb3b,0.397,0.48,0.834,0,3,0.0873,-6.293,1,0.0373,143.41,4,0.965
(Just Like) Romeo And Juliet,Sha Na Na,67VkjFHk3stnYde2SSCKUp,0.97,0.329,0.0621,0.0277,10,0.0682,-26.648,1,0.0645,105.534,3,0.0668
(Just Like) Starting Over,John Lennon,5y0YreEOnQiKFAnCrcFIXz,0.301,0.701,0.794,5.68e-05,9,0.179,-6.16,1,0.0757,99.104,4,0.409
(Keep Feeling) Fascination,The Human League,2uynnXFdf3wBIjOEHCB9up,0.22,0.709,0.518,2.45e-05,0,0.232,-10.187,1,0.105,118.616,4,0.619
(Kissed You) Good Night,Gloriana,0Rj68IX1WqAtceUZQGk7aa,0.0807,0.523,0.747,0,11,0.11,-6.125,1,0.0292,118.97,4,0.294
(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,6HH6fmHF2YssfVkRmzcjf0,0.484,0.671,0.497,0.0027,5,0.0893,-12.53,0,0.0289,105.117,4,0.564
(Lay Your Head On My) Pillow,Tony Toni Tone,0rRGYJSkI7v2VtxJv8n90m,0.0466,0.707,0.487,4.71e-06,6,0.0643,-8.948,0,0.036,79.071,4,0.568
(Let's Do) The Hully Gully Twist,Bill Doggett,,,,,,,,,,,,,
(Loneliness Made Me Realize) It's You That I Need,The Temptations,4SuPDwNadgf6fdw8v3FW5x,0.559,0.555,0.37,0,0,0.253,-12.075,1,0.0311,116.912,4,0.965
(Love Is Like A) Baseball Game,The Intruders,4Lg5z4lC7u1GPSeYvHPPi6,0.748,0.654,0.539,0,0,0.168,-7.825,1,0.0274,88.978,4,0.849
(Love Is) Thicker Than Water,Andy Gibb,5WdF8jm3hBNi1t9qlqdjsE,0.137,0.582,0.462,4.98e-05,6,0.0755,-9.882,0,0.0254,96.361,4,0.528
(Love Me) Love The Life I Lead,The Fantastics,7pgKdLyCfjnrBLXJfbFLzg,0.35,0.356,0.549,0,9,0.0583,-12.198,1,0.0574,78.331,4,0.784
(Love Theme From) One Eyed Jacks,Ferrante & Teicher,4hFIG8f48S4aLcYwNY8lON,0.85,0.358,0.294,0.87,7,0.246,-14.009,0,0.0295,94.615,4,0.239
"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals,5VewMAPzJlijAjZXls8PYN,0.127,0.71,0.806,3.94e-05,4,0.132,-8.511,1,0.0718,120.1,4,0.931
(Marie's The Name) His Latest Flame,Elvis Presley,4qbLOU1T7xgTH87eUSkvJ1,0.565,0.661,0.917,0.00202,4,0.134,-6.329,0,0.0375,105.289,4,0.893
"(Meet) The Flintstones (From ""The Flintstones"")",The B.C. 52's,3CfRAn1rpp7yqtMxglFDu9,0.542,0.52,0.527,0.00297,3,0.171,-7.646,1,0.0813,159.088,4,0.979
(My Girl) Sloopy,Little Caesar And The Consuls,3CrE3QPWWgwX2gE0foJTcS,0.223,0.755,0.615,1.4e-06,0,0.108,-8.973,1,0.123,114.089,4,0.835
(Native Girl) Elephant Walk,Donald Jenkins & The Delighters,7qErrM6v374a5lLGQBNz0O,0.626,0.429,0.654,0,7,0.0918,-5.818,1,0.0299,97.34,4,0.807
(New In) The Ways Of Love,Tommy Edwards,4pNXt2MMFvTSBOkOPWjD8r,0.715,0.386,0.322,0,7,0.0544,-13.018,0,0.032,178.668,3,0.508
(Night Time Is) The Right Time,Ray Charles with the Raylettes,1piX68vNesm5gA3ZRM3z6Y,0.613,0.665,0.645,0,3,0.33,-9.181,1,0.0352,78.115,4,0.749
(Not Just) Knee Deep - Part 1,Funkadelic,,,,,,,,,,,,,
(Now You See Me) Now You Don't,Lee Ann Womack,3vajUlUrqX8CjvSAoDYrKI,0.274,0.634,0.788,0,2,0.327,-6.082,1,0.0623,104.048,4,0.586
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,2TGiDvXSDPCcBTfaMtmsRc,0.901,0.574,0.714,1.7e-05,0,0.255,-6.344,1,0.0403,63.623,4,0.722
(Oh Lord Won't You Buy Me A) Mercedes Benz,Goose Creek Symphony,2uHWLH7bnYPlWSWe6AfHiO,0.744,0.486,0.41,0.00106,4,0.0775,-14.328,1,0.0457,88.824,4,0.926
(One Of These Days) Sunday's Gonna' Come On Tuesday,The New Establishment,,,,,,,,,,,,,
(Open Up The Door) Let The Good Times In,Dean Martin,6AwCMQu47EyMU2IbzhkjlL,0.77,0.443,0.618,2.88e-06,1,0.47,-12.153,1,0.0846,78.936,4,0.636
(Our Love) Don't Throw It All Away,Andy Gibb,1RsxUuB1Q5OdseLpHMBkEN,0.357,0.349,0.337,6.05e-05,5,0.643,-13.193,1,0.0528,143.143,4,0.208
(Pride) In The Name Of Love,U2,3dh2LlmeMqKJbzn2WUgt3d,0.00135,0.458,0.843,0.000296,4,0.778,-7.201,1,0.0316,105.701,4,0.713
(Quarter To Four) Stomp,The Stompers,5fHPIRjA43AaXfeLQwTjRR,0.649,0.704,0.631,2.94e-06,0,0.111,-8.565,0,0.304,142.917,4,0.646
(Reach Up For The) Sunrise,Duran Duran,2eia98Mfphqj2RqIJYaFUV,6.78e-05,0.62,0.826,0.00755,7,0.114,-3.985,0,0.0381,126.996,4,0.535
(Remember Me) I'm The One Who Loves You,Dean Martin,1q2RbUwPCCvO97Mx0VygiX,0.64,0.473,0.506,1.13e-05,1,0.24,-13.103,1,0.0377,113.371,4,0.591
(Remember The Days Of The) Old Schoolyard,Cat Stevens,6FvBlii7noUCNdImVN0aqG,0.485,0.648,0.581,0,10,0.565,-8.684,1,0.0495,146.182,4,0.61
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,Elton John,,,,,,,,,,,,,
(Say) You're My Girl,Roy Orbison,1FmN2ZJQ8W5Dn5rVzWvth1,0.778,0.513,0.473,6.92e-06,0,0.18,-8.578,1,0.0273,82.187,4,0.852
"(See You At The) ""Go-Go""",Dobie Gray,,,,,,,,,,,,,
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,528h8uGmZPQT867LM4wEcz,0.851,0.738,0.449,0,9,0.161,-6.662,1,0.0583,61.759,4,0.719
